"Date","High","Low","Open","Close","Volume"
"2015-10-28",10.35,8.72,9.23,9.45,1986500
"2015-10-29",10.19,9.5,9.6,9.75,1201000
"2015-10-30",10.82,9.78,9.99,10.58,2000400
"2015-11-02",13,11.06,11.18,13,4093600
"2015-11-03",14.84,12.15,13.66,14.33,6873300
"2015-11-04",14.42,13.08,14.18,13.3,2745900
"2015-11-05",13.2,10.5,12.4,10.92,6995800
"2015-11-06",10.6,8.05,10.57,8.2,6213300
"2015-11-09",9.2,6.05,9.09,6.2,16102200
"2015-11-10",5.89,3.6,4.58,5.44,16852600
"2015-11-11",6.44,4.92,5.45,5.44,7882200
"2015-11-12",5.92,4.95,5.68,5.23,2309900
"2015-11-13",5.21,4.47,5.21,4.55,3135400
"2015-11-16",4.88,4.15,4.6,4.22,1631500
"2015-11-17",3.99,3.16,3.9,3.24,4689900
"2015-11-18",6.03,3.87,4.1,5.3,34225000
"2015-11-19",6.96,5.65,6.33,5.9,14098500
"2015-11-20",6.3,5.38,5.67,5.83,3866800
"2015-11-23",6.36,5.91,6.07,6,2486600
"2015-11-24",6.04,5.5,5.95,5.61,1784700
"2015-11-25",5.85,5.5,5.65,5.52,991300
"2015-11-27",6,5.38,5.63,6,828900
"2015-11-30",8.14,6.91,7.25,6.99,20072800
"2015-12-01",7.084,6.21,7.06,6.33,3430800
"2015-12-02",6.44,5.57,5.78,5.76,3441300
"2015-12-03",6.44,5.76,5.86,6.405,1498800
"2015-12-04",6.69,6.21,6.52,6.33,1909200
"2015-12-07",6.59,6.1,6.35,6.46,1017700
"2015-12-08",7.29,6.16,6.28,6.56,2586900
"2015-12-09",7.15,6.65,6.67,6.75,1264900
"2015-12-10",7.1,6.65,7.04,6.72,1128800
"2015-12-11",7.15,6.55,6.61,7.11,2058700
"2015-12-14",7.99,7.39,7.44,7.61,3477700
"2015-12-15",8.03,6.86,7.74,6.87,3534600
"2015-12-16",7.29,6.87,7,7.15,1708400
"2015-12-17",7.55,7.05,7.26,7.46,1284300
"2015-12-18",7.95,7.3,7.46,7.49,3265900
"2015-12-21",7.86,7.49,7.67,7.77,1638200
"2015-12-22",7.77,7.26,7.53,7.5,1031500
"2015-12-23",7.64,7.21,7.52,7.42,660400
